time,flow_m3s-1,sal_ppt,temp_degC,NCS_ss1,OXY_oxy,NIT_amm,NIT_nit,PHS_frp,PHS_frp_ads,OGM_doc,OGM_don,OGM_dop,OGM_poc,OGM_pon,OGM_pop,PHY_mixed,TRC_age,TRC_tr1,TRC_tr2,TRC_tr3
06/05/2011 16:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
06/05/2011 17:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
06/05/2011 18:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
06/05/2011 19:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
06/05/2011 20:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
06/05/2011 21:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
06/05/2011 22:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
06/05/2011 23:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
07/05/2011 00:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
07/05/2011 01:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
07/05/2011 02:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
07/05/2011 03:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
07/05/2011 04:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
07/05/2011 05:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
07/05/2011 06:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
07/05/2011 07:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
07/05/2011 08:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
07/05/2011 09:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
07/05/2011 10:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
07/05/2011 11:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
07/05/2011 12:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
07/05/2011 13:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
07/05/2011 14:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
07/05/2011 15:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
07/05/2011 16:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
07/05/2011 17:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
07/05/2011 18:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
07/05/2011 19:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
07/05/2011 20:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
07/05/2011 21:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
07/05/2011 22:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
07/05/2011 23:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
08/05/2011 00:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
08/05/2011 01:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
08/05/2011 02:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
08/05/2011 03:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
08/05/2011 04:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
08/05/2011 05:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
08/05/2011 06:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
08/05/2011 07:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
08/05/2011 08:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
08/05/2011 09:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
08/05/2011 10:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
08/05/2011 11:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
08/05/2011 12:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
08/05/2011 13:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
08/05/2011 14:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
08/05/2011 15:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
08/05/2011 16:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
08/05/2011 17:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
08/05/2011 18:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
08/05/2011 19:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
08/05/2011 20:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
08/05/2011 21:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
08/05/2011 22:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
08/05/2011 23:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
09/05/2011 00:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
09/05/2011 01:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
09/05/2011 02:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
09/05/2011 03:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
09/05/2011 04:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
09/05/2011 05:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
09/05/2011 06:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
09/05/2011 07:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
09/05/2011 08:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
09/05/2011 09:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
09/05/2011 10:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
09/05/2011 11:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
09/05/2011 12:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
09/05/2011 13:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
09/05/2011 14:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
09/05/2011 15:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
09/05/2011 16:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
09/05/2011 17:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
09/05/2011 18:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
09/05/2011 19:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
09/05/2011 20:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
09/05/2011 21:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
09/05/2011 22:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
09/05/2011 23:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
10/05/2011 00:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
10/05/2011 01:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
10/05/2011 02:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
10/05/2011 03:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
10/05/2011 04:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
10/05/2011 05:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
10/05/2011 06:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
10/05/2011 07:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
10/05/2011 08:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
10/05/2011 09:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
10/05/2011 10:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
10/05/2011 11:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
10/05/2011 12:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
10/05/2011 13:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
10/05/2011 14:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
10/05/2011 15:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
10/05/2011 16:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
10/05/2011 17:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
10/05/2011 18:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
10/05/2011 19:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
10/05/2011 20:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
10/05/2011 21:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
10/05/2011 22:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
10/05/2011 23:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
11/05/2011 00:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
11/05/2011 01:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
11/05/2011 02:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
11/05/2011 03:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
11/05/2011 04:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
11/05/2011 05:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
11/05/2011 06:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
11/05/2011 07:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
11/05/2011 08:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
11/05/2011 09:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
11/05/2011 10:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
11/05/2011 11:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
11/05/2011 12:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
11/05/2011 13:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
11/05/2011 14:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
11/05/2011 15:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
11/05/2011 16:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
11/05/2011 17:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
11/05/2011 18:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
11/05/2011 19:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
11/05/2011 20:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
11/05/2011 21:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
11/05/2011 22:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
11/05/2011 23:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
12/05/2011 00:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
12/05/2011 01:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
12/05/2011 02:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
12/05/2011 03:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
12/05/2011 04:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
12/05/2011 05:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
12/05/2011 06:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
12/05/2011 07:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
12/05/2011 08:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
12/05/2011 09:00:00,20,0,10,24.355354,150.0,0.071429,43.279421,200.0,11.550005,58.325529,3.530541,1.062961,600.0,50.0,43.38402,34.934906,0.835898,2.480243,1.2277,0.071429
